デンプン粒の種類,粒径範囲
現生アワ,10
現生アワ,11.54
現生アワ,7.69
現生アワ,8.46
現生アワ,11.54
現生アワ,7.69
現生アワ,7.69
現生アワ,10
現生アワ,11.54
現生アワ,9.23
現生アワ,8.46
現生アワ,8.46
現生アワ,11.54
現生アワ,6.92
現生アワ,7.69
現生アワ,6.15
現生アワ,7.69
現生アワ,6.92
現生アワ,13.2
現生アワ,13.2
現生イネ,6.11
現生イネ,7.78
現生イネ,6.11
現生イネ,5.56
現生イネ,5
現生イネ,6.67
現生イネ,6.67
現生イネ,6.67
現生イネ,7.22
現生イネ,6.67
現生イネ,8.33
現生イネ,6.11
現生イネ,6.11
現生イネ,6.67
現生イネ,5.56
現生イネ,6.67
現生イネ,5
現生イネ,5.56
現生イネ,6.8
現生イネ,5.56
現生キビ,7.2
現生キビ,5.56
現生キビ,7.22
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,8.33
現生キビ,9.44
現生キビ,6.11
現生キビ,8.33
現生キビ,8.33
現生キビ,7.22
現生キビ,11.11
現生キビ,10
現生キビ,9.44
現生キビ,10.56
現生キビ,10.56
現生キビ,11.67
現生キビ,10
現生キビ,10
現生ヒエ,9.41
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,7.69
現生ヒエ,6.92
現生ヒエ,10
現生ヒエ,6.15
現生ヒエ,7.69
現生ヒエ,13.08
現生ヒエ,11.54
現生ヒエ,7.69
現生ヒエ,10.77
現生ヒエ,12.31
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,11.54
現生ヒエ,10
現生ヒエ,10
松尾大社_イネ,6.58
松尾大社_イネ,8.76
松尾大社_イネ,6.58
松尾大社_イネ,6.78
松尾大社_イネ,5
松尾大社_イネ,4.47
松尾大社_イネ,8.9
松尾大社_イネ,5
松尾大社_イネ,14.98
松尾大社_イネ,14.98
松尾大社_イネ,16.27
松尾大社_イネ,9.81
松尾大社_イネ,11.39
松尾大社_イネ,9.2
松尾大社_イネ,18
松尾大社_イネ,14.1
松尾大社_イネ,7.07
松尾大社_イネ,9.2
松尾大社_イネ,11.2
松尾大社_イネ,9.96
松尾大社_イネ,7.07
松尾大社_イネ,11.18
松尾大社_イネ,14.99
松尾大社_イネ,2.24
松尾大社_イネ,18.43
松尾大社_イネ,11.17
